temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,temperatureMaxTime,day
15.57,208,10.13,0.36,2.45,1009.46,15.57,12.68,0.84,7.33,15.57,1,8.88,9.68,15.57,9.01,0.21,2011-11-01 15:00,2011-11-01
15.19,134,10.23,0.39,4.39,1004.79,15.06,11.83,0.87,13.99,15.19,1,13.99,8.88,15.06,7.33,0.24,2011-11-02 23:00,2011-11-02
17.41,154,13.39,0.52,3.99,993.4,17.41,12.15,0.89,12.52,17.41,1,12.52,12.79,17.41,12.79,0.27,2011-11-03 14:00,2011-11-03
15.54,179,12.03,0.5,2.62,995.54,15.54,10.69,0.91,10.17,15.54,1,10.17,11.53,15.54,11.53,0.31,2011-11-04 11:00,2011-11-04
13.94,346,10.96,0.65,2.7,1007.39,13.94,4.6,0.92,7.03,13.94,1,9.46,10.17,13.94,10.17,0.34,2011-11-05 15:00,2011-11-05
11.85,1,7.48,0.77,4.77,1021.96,11.85,11.76,0.81,10.17,11.85,1,10.17,9.46,11.85,7.03,0.37,2011-11-06 14:00,2011-11-06
12.78,26,9.59,0.82,3.9,1020.81,12.78,5.89,0.89,7.85,12.78,1,9.67,10.17,12.78,10.17,0.4,2011-11-07 13:00,2011-11-07
11.31,101,9.12,0.83,2.4,1014.61,10.57,4.31,0.92,9.11,11.31,1,9.73,9.37,10.57,7.85,0.43,2011-11-08 0:00,2011-11-08
15,143,10.09,0.57,2.74,1015.59,15,9.85,0.9,10.26,15,1,10.26,10.1,15,10.1,0.46,2011-11-09 13:00,2011-11-09
13.71,98,10.44,0.34,2.66,1017.41,13.71,6.41,0.92,6.48,13.71,1,8.85,10.26,13.71,10.26,0.49,2011-11-10 15:00,2011-11-10
11.96,123,9.4,0.79,3.88,1016.08,10.87,3.3,0.95,10.87,11.96,1,10.87,8.85,10.87,6.48,0.52,2011-11-11 23:00,2011-11-11
15.26,122,12.19,0.78,2.5,1024.77,15.26,4.83,0.93,10.76,15.26,1,10.76,11.56,15.26,11.56,0.55,2011-11-12 13:00,2011-11-12
15.32,90,10.49,0.56,3.81,1027.73,15.32,5.15,0.9,6.47,15.32,1,8.16,10.23,15.32,10.23,0.58,2011-11-13 12:00,2011-11-13
10.18,93,8.38,0.86,3.34,1023.29,7.97,3.19,0.95,6.06,10.18,1,8.41,8.16,9.68,6.34,0.61,2011-11-14 0:00,2011-11-14
11.36,82,6.67,0.63,3.42,1018.53,11.36,5.39,0.87,2.93,11.36,1,5.19,5.88,11.36,3.55,0.65,2011-11-15 13:00,2011-11-15
8.32,117,5.58,0.81,2.36,1017.4,6.64,3.69,0.93,4.68,7.14,1,6.93,5.19,8.18,2.93,0.68,2011-11-16 23:00,2011-11-16
14.44,190,8.83,0.52,2.23,1018.32,14.44,8.1,0.88,7.54,14.44,1,9.06,8.54,14.44,7.54,0.71,2011-11-17 13:00,2011-11-17
14.64,168,9.06,0.37,3.15,1017.97,14.64,12.55,0.87,5.98,14.64,1,7.78,8.64,14.64,7.01,0.75,2011-11-18 11:00,2011-11-18
13.19,117,8.12,0.26,2.37,1016.8,13.19,6.63,0.92,4.76,13.19,1,4.76,7.48,13.19,5.98,0.79,2011-11-19 14:00,2011-11-19
9.71,115,6.62,0.41,1.24,1018.82,9.54,2.64,0.96,5.95,9.54,1,7.1,4.76,9.71,4.76,0.82,2011-11-20 14:00,2011-11-20
10.69,103,8.23,0.7,2.62,1015.07,10.69,2.82,0.95,7.99,10.69,1,9.39,7.1,10.69,5.95,0.86,2011-11-21 13:00,2011-11-21
12.93,348,9.97,0.78,0.35,1018.38,12.93,3.35,0.94,2.18,12.93,1,3.81,9.19,12.93,8.95,0.9,2011-11-22 14:00,2011-11-22
10.36,229,6.29,0.36,2.04,1027.12,10.36,8.06,0.93,6.56,10.36,1,8.24,3.81,10.36,2.18,0.94,2011-11-23 14:00,2011-11-23
12.93,204,8.56,0.41,4.04,1027.22,12.93,10.64,0.89,7.3,12.93,1,9.71,8.56,12.93,7.01,0.97,2011-11-24 12:00,2011-11-24
13.03,243,7.24,0.48,5.02,1024.47,12.27,12.38,0.79,4.69,13.03,1,7.01,7.46,12.27,4.84,0.01,2011-11-25 5:00,2011-11-25
12.96,237,6.96,0.44,5.75,1025.8,12.96,13.07,0.81,11.59,12.96,1,11.59,7.01,12.96,4.69,0.05,2011-11-26 14:00,2011-11-26
13.54,256,5.76,0.42,5.48,1021.11,13.54,13.08,0.72,1.31,13.54,1,1.31,4.47,13.54,2.94,0.08,2011-11-27 10:00,2011-11-27
12.58,190,4.39,0.56,2.34,1022.8,10.27,11.84,0.86,10.27,12.58,1,10.27,1.31,10.27,1.31,0.12,2011-11-28 23:00,2011-11-28
13.47,213,8.61,0.6,6.48,1009.7,13.47,12.57,0.82,3.34,13.47,1,6.34,6.37,13.47,3.39,0.15,2011-11-29 14:00,2011-11-29
11.87,205,5.26,0.31,4.43,1019.43,11.87,13.05,0.78,6.23,11.87,1,9.44,6.34,11.87,3.34,0.19,2011-11-30 12:00,2011-11-30
12.15,225,6.87,0.57,2.57,1007.12,12.15,12.15,0.82,0.46,12.15,1,2.56,6.08,12.15,5.29,0.22,2011-12-01 7:00,2011-12-01
8.07,232,3.69,0.32,3,1012.12,5.33,11.89,0.87,3.26,5.33,1,6.33,2.56,7.36,0.46,0.25,2011-12-02 23:00,2011-12-02
11.42,247,6.58,0.54,5.42,1003.55,11.42,12.7,0.79,4.9,11.42,1,7.53,8.12,11.42,4.71,0.28,2011-12-03 10:00,2011-12-03
9.11,254,4.87,0.36,4.31,1001.15,6.66,13.36,0.82,-1.69,6.66,1,2.81,4.69,9.11,1.03,0.31,2011-12-04 13:00,2011-12-04
6.87,254,0.84,0.2,5.57,1006.01,3.13,13,0.77,-1.61,3.13,1,2.68,2.81,6.87,-1.69,0.34,2011-12-05 13:00,2011-12-05
6.91,245,2.15,0.34,4.79,1007.32,3.77,13.15,0.83,1.9,3.77,1,5.16,2.68,6.91,-1.61,0.37,2011-12-06 14:00,2011-12-06
9.02,263,1.79,0.29,7.06,1008.76,4.98,13.12,0.68,0.63,5.14,1,4.27,4.91,9.02,0.94,0.4,2011-12-07 12:00,2011-12-07
12.89,234,5.96,0.53,7.01,1010.84,12.89,12.59,0.81,-0.37,12.89,1,3.76,4.27,12.89,0.63,0.43,2011-12-08 18:00,2011-12-08
7.68,255,0.41,0.15,5.65,1010.6,3.99,12.83,0.71,-3.42,3.99,1,-0.13,2.03,7.68,-1.42,0.46,2011-12-09 13:00,2011-12-09
6.08,247,-0.34,0.17,3.08,1015.58,3.14,12.83,0.81,0.11,3.14,1,2.48,-0.13,6.08,-3.42,0.49,2011-12-10 12:00,2011-12-10
8.59,198,4.49,0.56,3.94,1007.71,5.62,12.09,0.88,-0.64,5.72,1,3.09,2.48,8.59,0.11,0.53,2011-12-11 14:00,2011-12-11
9.82,221,4.1,0.38,5.02,1002.47,5.18,12.05,0.84,2.71,5.94,1,6.88,3.09,8.53,-0.64,0.56,2011-12-12 23:00,2011-12-12
12.08,233,3.62,0.42,7.44,990.27,4.51,12.55,0.75,0.22,12.08,1,4.16,4.54,8.48,0.22,0.59,2011-12-13 2:00,2011-12-13
5.92,228,1.68,0.36,4.48,994.48,1.77,13.2,0.79,1.07,2.88,1,4.08,4.14,5.81,0.78,0.63,2011-12-14 2:00,2011-12-14
7.97,234,2.41,0.42,4.71,996.75,4.25,12.79,0.77,-2.58,4.38,1,1.8,4.08,7.97,1.07,0.66,2011-12-15 14:00,2011-12-15
4.68,315,1.6,0.7,3.71,988.1,0.23,10.96,0.88,-3.56,0.99,1,0.24,1.8,4.53,-2.65,0.7,2011-12-16 0:00,2011-12-16
5.35,285,0.96,0.37,3.99,1008.46,1.72,11.64,0.86,-4.12,1.72,1,-0.01,0.24,5.35,-3.56,0.73,2011-12-17 14:00,2011-12-17
5.49,289,-0.31,0.22,3.6,1016.37,1.98,13.04,0.84,-3.67,1.98,1,-0.84,-0.56,5.49,-4.12,0.77,2011-12-18 14:00,2011-12-18
6.64,235,2.45,0.47,2.7,1014.39,4.02,10.43,0.94,2.27,4.02,1,5.83,-0.84,6.64,-3.67,0.81,2011-12-19 19:00,2011-12-19
8.26,279,3.64,0.48,4.25,1015.09,4.98,12.89,0.81,3.53,4.98,1,5.93,5.66,8.26,1.68,0.85,2011-12-20 12:00,2011-12-20
12.14,266,8.6,0.67,2.9,1017.91,12.14,9.41,0.94,5.37,12.14,0,8.08,5.93,12.14,3.84,0.88,2011-12-21 15:00,2011-12-21
